Project:,2025-06_STG,,,,,,,,,,
,,,,,,,,,,,
Test:,2025-06-12_20wt%_gelatin_bovine_frequency_sweep,,,,,,,,,,
,,,,,,,,,,,
Result:,Frequency sweep 1,,,,,,,,,,
,,,,,,,,,,,
Interval and data points:,1,41,,,,,,,,,
Interval data:,Point No.,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque,Phase Shift Angle,Viscosity,Shear Rate
,,,,,,,,,,,
,,[rad/s],[Pa],[Pa],[1],[%],[Pa],[mN·m],[°],[mPa·s],[1/s]
,1,0.01,4171.6,57.651,0.014,0.2,8.3615,0.03835,0.79,,
,2,0.0126,3844.3,66.444,0.017,0.777,29.882,0.13705,0.99,,
,3,0.0158,3675.8,114.62,0.031,0.969,35.635,0.16344,1.79,,
,4,0.02,3565.1,192.6,0.054,0.996,35.565,0.16312,3.09,,
,5,0.0251,3507,289.3,0.082,0.999,35.149,0.16121,4.72,,
,6,0.0316,3511.4,391.19,0.111,0.999,35.295,0.16188,6.36,,
,7,0.0398,3610.9,471.73,0.131,0.999,36.398,0.16694,7.44,,
,8,0.0501,3802,390.87,0.103,1,38.214,0.17527,5.87,,
,9,0.0631,3768,93.835,0.025,1,37.686,0.17285,1.43,,
,10,0.0794,3481.2,117.83,0.034,1,34.829,0.15974,1.94,,
,11,0.1,3587,302.87,0.084,1,35.995,0.16509,4.83,,
,12,0.126,3621.2,81.866,0.023,1,36.219,0.16612,1.3,,
,13,0.158,3541.9,202.65,0.057,1,35.475,0.1627,3.27,,
,14,0.2,3515.6,120.46,0.034,1,35.174,0.16133,1.96,,
,15,0.251,3540,117.66,0.033,1,35.417,0.16244,1.9,,
,16,0.316,3519.3,124.25,0.035,1,35.212,0.1615,2.02,,
,17,0.398,3495.7,128,0.037,1,34.978,0.16043,2.1,,
,18,0.501,3491.3,131.53,0.038,1,34.935,0.16023,2.16,,
,19,0.631,3485.2,129.7,0.037,1,34.874,0.15995,2.13,,
,20,0.794,3478.5,131.32,0.038,1,34.808,0.15965,2.16,,
,21,1,3476.2,133.5,0.038,1,34.785,0.15954,2.2,,
,22,1.26,3472.7,137.11,0.039,1,34.752,0.15939,2.26,,
,23,1.58,3472.1,141.44,0.041,1,34.748,0.15937,2.33,,
,24,2,3474.6,147.38,0.042,1,34.776,0.1595,2.43,,
,25,2.51,3479.8,153.92,0.044,1,34.83,0.15975,2.53,,
,26,3.16,3484.1,161.44,0.046,1,34.877,0.15996,2.65,,
,27,3.98,3490.1,170.05,0.049,1,34.941,0.16026,2.79,,
,28,5.01,3497.9,180.07,0.051,1,35.024,0.16064,2.95,,
,29,6.31,3509.3,191.42,0.055,1,35.143,0.16118,3.12,,
,30,7.94,3523.3,204.19,0.058,1,35.29,0.16186,3.32,,
,31,10,3538.3,218.35,0.062,1,35.45,0.16259,3.53,,
,32,12.6,3558,234.3,0.066,1,35.658,0.16354,3.77,,
,33,15.8,3578.5,251.56,0.07,1,35.876,0.16454,4.02,,
,34,20,3602.5,270.78,0.075,1,36.133,0.16573,4.3,,
,35,25.1,3630.2,292.81,0.081,1,36.435,0.16711,4.61,,
,36,31.6,3662.3,316.93,0.087,1,36.796,0.16876,4.95,,
,37,39.8,3699.1,343.36,0.093,1,37.23,0.17076,5.3,,
,38,50.1,3737.4,372.26,0.1,1.01,37.756,0.17317,5.69,,
,39,63.1,3776.8,408.27,0.108,1,38.051,0.17452,6.17,,
,40,79.4,3828.1,455.58,0.119,0.995,38.359,0.17593,6.79,,
,41,100,3890.4,512.71,0.132,0.994,38.994,0.17885,7.51,,
,,,,,,,,,,,
Test:,2025-06-12_20wt%_gelatin_bovine_strain_sweep,,,,,,,,,,
,,,,,,,,,,,
Result:,Frequency sweep 1,,,,,,,,,,
,,,,,,,,,,,
Interval and data points:,1,41,,,,,,,,,
Interval data:,Point No.,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque,Phase Shift Angle,Viscosity,Shear Rate
,,,,,,,,,,,
,,[rad/s],[Pa],[Pa],[1],[%],[Pa],[mN·m],[°],[mPa·s],[1/s]
,1,1,10172,778.3,0.077,0.000999,0.10197,0.00046767,4.38,,
,2,1,9524.6,481,0.051,0.00125,0.11912,0.00054636,2.89,,
,3,1,9018.9,680.21,0.075,0.00157,0.14195,0.00065107,4.31,,
,4,1,8826.7,623.04,0.071,0.00198,0.17535,0.00080425,4.04,,
,5,1,8730.5,538.1,0.062,0.00249,0.21802,0.00099994,3.53,,
,6,1,8568.3,436.69,0.051,0.00313,0.26887,0.0012332,2.92,,
,7,1,8433.2,531.42,0.063,0.00395,0.33376,0.0015308,3.61,,
,8,1,8382.8,455.94,0.054,0.00496,0.41668,0.0019111,3.11,,
,9,1,8260.9,420.07,0.051,0.00626,0.51784,0.0023751,2.91,,
,10,1,8162,477.64,0.059,0.00789,0.645,0.0029583,3.35,,
,11,1,8034.8,456.9,0.057,0.00991,0.79741,0.0036573,3.25,,
,12,1,7969.9,470.71,0.059,0.0125,0.99717,0.0045735,3.38,,
,13,1,7868.4,453.3,0.058,0.0157,1.2377,0.0056769,3.3,,
,14,1,7788.9,423.68,0.054,0.0198,1.5429,0.0070763,3.11,,
,15,1,7729.6,451.36,0.058,0.025,1.9324,0.0088629,3.34,,
,16,1,7662.9,436.54,0.057,0.0313,2.406,0.011035,3.26,,
,17,1,7605.1,450.06,0.059,0.0395,3.0079,0.013796,3.39,,
,18,1,7556.6,442.49,0.059,0.0497,3.7615,0.017252,3.35,,
,19,1,7502.5,437.44,0.058,0.0625,4.6969,0.021542,3.34,,
,20,1,7455.7,438.86,0.059,0.0789,5.8928,0.027027,3.37,,
,21,1,7417.3,443.27,0.06,0.0992,7.3727,0.033815,3.42,,
,22,1,7380.1,441.54,0.06,0.125,9.2255,0.042313,3.42,,
,23,1,7331.3,434.7,0.059,0.157,11.548,0.052965,3.39,,
,24,1,7298,435.59,0.06,0.198,14.447,0.066263,3.42,,
,25,1,7267.1,432.84,0.06,0.249,18.147,0.083232,3.41,,
,26,1,7230.9,434.24,0.06,0.314,22.751,0.10435,3.44,,
,27,1,7207.9,433.43,0.06,0.395,28.487,0.13066,3.44,,
,28,1,7186.9,432.38,0.06,0.497,35.803,0.16421,3.44,,
,29,1,7169.6,432.42,0.06,0.625,44.908,0.20597,3.45,,
,30,1,7150.7,431.95,0.06,0.787,56.405,0.2587,3.46,,
,31,1,7140.5,432.92,0.061,0.994,71.081,0.32601,3.47,,
,32,1,7121.3,431.36,0.061,1.25,89.049,0.40842,3.47,,
,33,1,7110.1,432.07,0.061,1.57,111.95,0.51348,3.48,,
,34,1,7091.3,431.34,0.061,1.98,140.58,0.64477,3.48,,
,35,1,7076.3,430.77,0.061,2.49,176.39,0.80899,3.48,,
,36,1,7056.2,429.42,0.061,3.14,222.05,1.0184,3.48,,
,37,1,7036.8,428.25,0.061,3.95,278.52,1.2774,3.48,,
,38,1,7015.2,427.19,0.061,4.97,349.13,1.6013,3.48,,
,39,1,6993.4,426.94,0.061,6.26,438.64,2.0118,3.49,,
,40,1,6974.4,427.08,0.061,7.87,549.79,2.5216,3.5,,
,41,1,6958,428.05,0.062,9.92,691.74,3.1727,3.52,,
,,,,,,,,,,,
Test:,2025-06-19_25wt%_gelatin_bovine_strain_sweep,,,,,,,,,,
,,,,,,,,,,,
Result:,Frequency sweep 1,,,,,,,,,,
,,,,,,,,,,,
Interval and data points:,1,41,,,,,,,,,
Interval data:,Point No.,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque,Phase Shift Angle,Viscosity,Shear Rate
,,,,,,,,,,,
,,[rad/s],[Pa],[Pa],[1],[%],[Pa],[mN·m],[°],[mPa·s],[1/s]
,1,1,4777.9,0.23889,0,0.001,0.047782,0.00021915,0,,
,2,1,4812.9,984.52,0.205,0.00125,0.061381,0.00028152,11.56,,
,3,1,6307.6,1891.6,0.3,0.00157,0.10338,0.00047416,16.69,,
,4,1,7399.4,660.44,0.089,0.00198,0.14723,0.00067527,5.1,,
,5,1,7079.4,60.664,0.009,0.00249,0.17655,0.00080974,0.49,,
,6,1,6354.2,0.31771,0,0.00313,0.19917,0.0009135,0,,
,7,1,6114.6,196.54,0.032,0.00395,0.24172,0.0011086,1.84,,
,8,1,6182.3,528.22,0.085,0.00497,0.30811,0.0014132,4.88,,
,9,1,6340.6,400.55,0.063,0.00626,0.39774,0.0018242,3.61,,
,10,1,6204.2,283.32,0.046,0.00789,0.49018,0.0022482,2.61,,
,11,1,6114.7,215.51,0.035,0.00991,0.60653,0.0027819,2.02,,
,12,1,6078.2,249.26,0.041,0.0125,0.7599,0.0034853,2.35,,
,13,1,6036,171.88,0.028,0.0157,0.94892,0.0043522,1.63,,
,14,1,5872.6,175.3,0.03,0.0198,1.162,0.0053294,1.71,,
,15,1,5752,225.43,0.039,0.025,1.4371,0.0065911,2.24,,
,16,1,5680.4,276,0.049,0.0314,1.7838,0.0081813,2.78,,
,17,1,5666.5,264.75,0.047,0.0395,2.2397,0.010273,2.68,,
,18,1,5615.4,214.8,0.038,0.0497,2.7943,0.012816,2.19,,
,19,1,5484.8,203.57,0.037,0.0625,3.4307,0.015735,2.13,,
,20,1,5402.7,217.13,0.04,0.0789,4.2666,0.019569,2.3,,
,21,1,5357.4,248.06,0.046,0.0993,5.3242,0.02442,2.65,,
,22,1,5334.4,242.55,0.045,0.125,6.6642,0.030566,2.6,,
,23,1,5300.3,227.55,0.043,0.157,8.3446,0.038272,2.46,,
,24,1,5242.8,217.83,0.042,0.198,10.373,0.047577,2.38,,
,25,1,5190.6,219.96,0.042,0.249,12.95,0.059395,2.43,,
,26,1,5143.5,225.4,0.044,0.314,16.177,0.074196,2.51,,
,27,1,5110.5,225.9,0.044,0.395,20.187,0.09259,2.53,,
,28,1,5071.4,221.36,0.044,0.497,25.246,0.11579,2.5,,
,29,1,5033.5,218.61,0.043,0.626,31.515,0.14454,2.49,,
,30,1,4995.2,217.82,0.044,0.787,39.365,0.18055,2.5,,
,31,1,4962.3,219.15,0.044,0.994,49.367,0.22642,2.53,,
,32,1,4937.8,221.56,0.045,1.25,61.72,0.28308,2.57,,
,33,1,4916.3,220.9,0.045,1.57,77.354,0.35478,2.57,,
,34,1,4894.6,220.27,0.045,1.98,96.993,0.44486,2.58,,
,35,1,4880.8,221.13,0.045,2.49,121.57,0.55756,2.59,,
,36,1,4863.8,222.63,0.046,3.14,152.94,0.70145,2.62,,
,37,1,4848.6,225.68,0.047,3.95,191.85,0.87993,2.66,,
,38,1,4833.6,230.33,0.048,4.97,240.42,1.1027,2.73,,
,39,1,4818.9,236.26,0.049,6.26,302.12,1.3857,2.81,,
,40,1,4799.1,249.78,0.052,7.87,378.2,1.7346,2.98,,
,41,1,4776.7,270.84,0.057,9.92,474.71,2.1773,3.25,,
,,,,,,,,,,,
Test:,2025-06-19_25wt%_gelatin_bovine_frequency_sweep,,,,,,,,,,
,,,,,,,,,,,
Result:,Frequency sweep 1,,,,,,,,,,
,,,,,,,,,,,
Interval and data points:,1,41,,,,,,,,,
Interval data:,Point No.,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque,Phase Shift Angle,Viscosity,Shear Rate
,,,,,,,,,,,
,,[rad/s],[Pa],[Pa],[1],[%],[Pa],[mN·m],[°],[mPa·s],[1/s]
,1,0.01,6183.1,109.94,0.018,0.0989,6.1156,0.028049,1.02,,
,2,0.0126,5443.9,152.42,0.028,0.477,25.96,0.11906,1.6,,
,3,0.0158,5067.1,172.25,0.034,0.861,43.647,0.20019,1.95,,
,4,0.02,4816.2,255.3,0.053,0.974,46.965,0.2154,3.03,,
,5,0.0251,4650.7,371.24,0.08,0.996,46.454,0.21306,4.56,,
,6,0.0316,4565.3,498.7,0.109,0.999,45.867,0.21037,6.23,,
,7,0.0398,4559.2,629.45,0.138,0.999,45.972,0.21085,7.86,,
,8,0.0501,4669.1,739.93,0.158,0.999,47.245,0.21669,9,,
,9,0.0631,4940.5,654.75,0.133,1,49.83,0.22854,7.55,,
,10,0.0794,4925.8,268.9,0.055,1,49.326,0.22623,3.12,,
,11,0.1,4617.7,284.09,0.062,1,46.263,0.21218,3.52,,
,12,0.126,4715.3,398.52,0.085,1,47.321,0.21704,4.83,,
,13,0.158,4628.9,210.39,0.045,1,46.337,0.21252,2.6,,
,14,0.2,4642.6,278.91,0.06,1,46.509,0.21331,3.44,,
,15,0.251,4568.9,242.1,0.053,1,45.753,0.20985,3.03,,
,16,0.316,4535.2,230.16,0.051,1,45.41,0.20827,2.91,,
,17,0.398,4520.2,217.59,0.048,1,45.255,0.20756,2.76,,
,18,0.501,4493.1,206.25,0.046,1,44.978,0.20629,2.63,,
,19,0.631,4475.4,201.45,0.045,1,44.799,0.20547,2.58,,
,20,0.794,4459.2,198.58,0.045,1,44.636,0.20472,2.55,,
,21,1,4443.6,197.42,0.044,1,44.48,0.20401,2.54,,
,22,1.26,4434.1,197.8,0.045,1,44.385,0.20357,2.55,,
,23,1.58,4427.9,199.27,0.045,1,44.324,0.20329,2.58,,
,24,2,4423.4,201.59,0.046,1,44.28,0.20309,2.61,,
,25,2.51,4421.7,205.16,0.046,1,44.265,0.20302,2.66,,
,26,3.16,4420.1,209.82,0.047,1,44.251,0.20296,2.72,,
,27,3.98,4423.5,215.67,0.049,1,44.288,0.20313,2.79,,
,28,5.01,4432.6,222.5,0.05,1,44.382,0.20356,2.87,,
,29,6.31,4440.9,230.14,0.052,1,44.469,0.20396,2.97,,
,30,7.94,4450.1,239.06,0.054,1,44.566,0.2044,3.07,,
,31,10,4462.3,249.05,0.056,1,44.693,0.20498,3.19,,
,32,12.6,4476.7,260.68,0.058,1,44.844,0.20568,3.33,,
,33,15.8,4495.2,273.73,0.061,1,45.036,0.20656,3.48,,
,34,20,4515.9,288.64,0.064,1,45.253,0.20755,3.66,,
,35,25.1,4540,305.6,0.067,1,45.504,0.2087,3.85,,
,36,31.6,4567.7,325.15,0.071,1,45.794,0.21003,4.07,,
,37,39.8,4589.7,346.7,0.076,1,46.033,0.21113,4.32,,
,38,50.1,4609.7,372.92,0.081,1,46.248,0.21212,4.63,,
,39,63.1,4627.6,407.02,0.088,1,46.452,0.21305,5.03,,
,40,79.4,4637.5,453.25,0.098,1,46.593,0.2137,5.58,,
,41,100,4642.8,556.04,0.12,1,46.757,0.21445,6.83,,
,,,,,,,,,,,
Test:,2025-06-12_20wt%_gelatin_bovine_10wt%_cornstarch_stress_sweep,,,,,,,,,,
,,,,,,,,,,,
Result:,Frequency sweep 1,,,,,,,,,,
,,,,,,,,,,,
Interval and data points:,1,31,,,,,,,,,
Interval data:,Point No.,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque,Phase Shift Angle,Viscosity,Shear Rate
,,,,,,,,,,,
,,[rad/s],[Pa],[Pa],[1],[%],[Pa],[mN·m],[°],[mPa·s],[1/s]
,1,,,,,0.00333,0.1,0.00045865,,-1.15E+09,-8.66E-08
,2,,,,,0.00313,0.12589,0.00057741,,-3.05E+08,-4.12E-07
,3,,,,,0.00388,0.15849,0.00072691,,1.93E+08,8.23E-07
,4,,,,,0.00659,0.19953,0.00091513,,3.22E+08,6.20E-07
,5,,,,,0.00799,0.25119,0.0011521,,2.68E+08,9.39E-07
,6,,,,,0.00945,0.31623,0.0014504,,-2.79E+08,-1.13E-06
,7,,,,,0.0115,0.39811,0.0018259,,-2.17E+09,-1.83E-07
,8,,,,,0.0142,0.50119,0.0022987,,3.43E+08,1.46E-06
,9,,,,,0.0165,0.63096,0.0028939,,-5.19E+09,-1.22E-07
,10,,,,,0.0217,0.79433,0.0036432,,4.10E+09,1.94E-07
,11,,,,,0.0271,1,0.0045865,,1.04E+10,9.64E-08
,12,,,,,0.0356,1.2589,0.0057741,,8.29E+08,1.52E-06
,13,,,,,0.0454,1.5849,0.0072691,,2.20E+09,7.21E-07
,14,,,,,0.0572,1.9953,0.0091513,,1.94E+09,1.03E-06
,15,,,,,0.0722,2.5119,0.011521,,1.91E+09,1.32E-06
,16,,,,,0.0902,3.1623,0.014504,,1.53E+09,2.06E-06
,17,,,,,0.114,3.9811,0.018259,,1.40E+09,2.85E-06
,18,,,,,0.144,5.0119,0.022987,,2.25E+09,2.23E-06
,19,,,,,0.182,6.3096,0.028939,,1.99E+09,3.17E-06
,20,,,,,0.227,7.9433,0.036432,,2.37E+09,3.35E-06
,21,,,,,0.286,10,0.045865,,2.02E+09,4.94E-06
,22,,,,,0.36,12.589,0.057741,,2.15E+09,5.86E-06
,23,,,,,0.45,15.849,0.072691,,2.11E+09,7.51E-06
,24,,,,,0.565,19.953,0.091513,,1.95E+09,1.02E-05
,25,,,,,0.708,25.119,0.11521,,1.96E+09,1.28E-05
,26,,,,,0.891,31.623,0.14504,,1.94E+09,1.63E-05
,27,,,,,1.12,39.811,0.18259,,1.81E+09,2.20E-05
,28,,,,,1.41,50.119,0.22987,,1.72E+09,2.91E-05
,29,,,,,1.78,63.096,0.28939,,1.77E+09,3.57E-05
,30,,,,,2.23,79.433,0.36432,,1.86E+09,4.28E-05
,31,,,,,2.8,100,0.45865,,1.86E+09,5.38E-05
,,,,,,,,,,,
